Epoch: [0][0/28], lr: 0.02000	Time 30.802 (30.802)	Data 10.058 (10.058)	Loss 7.0625 (7.0625)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [0][10/28], lr: 0.02000	Time 0.841 (13.037)	Data 0.007 (9.800)	Loss 8.1250 (9.2443)	Prec@1 1.562 (1.078)	Prec@5 3.516 (3.438)
Epoch: [0][20/28], lr: 0.02000	Time 2.313 (9.995)	Data 0.008 (7.536)	Loss 6.9688 (8.5402)	Prec@1 0.391 (1.023)	Prec@5 2.734 (3.359)
Epoch: [1][0/28], lr: 0.01999	Time 10.690 (10.690)	Data 9.867 (9.867)	Loss 6.8750 (6.8750)	Prec@1 0.586 (0.586)	Prec@5 2.938 (2.938)
Epoch: [1][10/28], lr: 0.01999	Time 0.914 (8.080)	Data 0.007 (6.390)	Loss 6.4688 (6.6250)	Prec@1 1.172 (1.031)	Prec@5 6.250 (4.656)
Epoch: [1][20/28], lr: 0.01999	Time 2.010 (6.151)	Data 0.024 (4.570)	Loss 6.5000 (6.5967)	Prec@1 1.367 (1.133)	Prec@5 3.125 (4.469)
Epoch: [2][0/28], lr: 0.01998	Time 10.156 (10.156)	Data 9.815 (9.815)	Loss 6.4375 (6.4375)	Prec@1 0.977 (0.977)	Prec@5 4.500 (4.500)
Epoch: [2][10/28], lr: 0.01998	Time 0.800 (2.896)	Data 0.009 (0.995)	Loss 6.4375 (6.4375)	Prec@1 0.586 (1.055)	Prec@5 5.062 (4.969)
Epoch: [2][20/28], lr: 0.01998	Time 0.731 (2.117)	Data 0.012 (0.555)	Loss 6.4375 (6.4315)	Prec@1 0.781 (1.086)	Prec@5 5.875 (5.312)
